TEAM,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%,Defender Distance
Chicago Bulls,27,27,22.20%,9.4,19.1,49.2,49.5,21.70%,9.3,18.7,49.6,0.40%,0.1,0.4,30,0-2
Oklahoma City Thunder,28,28,21.50%,8.6,18.8,46,46.2,21.00%,8.6,18.3,46.8,0.50%,0.1,0.5,15.4,0-2
Minnesota Timberwolves,27,27,22.20%,8.1,18.8,43,43.3,21.80%,8,18.4,43.3,0.40%,0.1,0.4,30,0-2
Phoenix Suns,28,28,20.80%,8.6,18.5,46.6,47.3,20.00%,8.4,17.8,47.1,0.80%,0.3,0.7,35,0-2
Brooklyn Nets,26,26,21.20%,8.9,18.2,48.8,49,20.70%,8.8,17.7,49.7,0.50%,0.1,0.5,16.7,0-2
Los Angeles Lakers,31,31,20.50%,8,17.7,45.3,46,19.60%,7.8,17,45.7,0.90%,0.3,0.7,34.8,0-2
Denver Nuggets,29,28,20.60%,8.2,17.4,47.2,47.6,19.90%,8.1,16.9,48.1,0.70%,0.1,0.6,23.5,0-2
Portland Trail Blazers,30,29,20.50%,7.5,17.2,43.3,44.7,19.20%,7,16.2,43.3,1.30%,0.5,1.1,43.8,0-2
Miami Heat,29,29,19.70%,7.3,17,42.8,43.3,19.00%,7.1,16.4,43.2,0.60%,0.2,0.6,31.3,0-2
Indiana Pacers,30,30,19.70%,7.8,17,46.2,46.4,19.10%,7.8,16.5,47.2,0.60%,0.1,0.5,13.3,0-2
Sacramento Kings,28,28,19.70%,7.7,16.4,47.1,47.5,18.90%,7.6,15.8,48.1,0.80%,0.1,0.6,22.2,0-2
Utah Jazz,28,28,21.10%,7.9,16.3,48.4,48.9,20.50%,7.7,15.9,48.6,0.60%,0.2,0.5,38.5,0-2
Charlotte Hornets,29,29,18.80%,6.9,16.1,42.7,44.1,17.40%,6.5,15,43.1,1.40%,0.5,1.2,38.2,0-2
Boston Celtics,28,28,18.50%,7,15.9,43.8,44.3,17.50%,6.8,15,45.4,1.00%,0.1,0.9,16.7,0-2
Washington Wizards,27,27,18.20%,6.7,15.7,42.9,43,17.90%,6.7,15.4,43.4,0.30%,0,0.3,14.3,0-2
Milwaukee Bucks,26,26,18.60%,7.8,15.7,49.8,50.5,17.70%,7.6,15,50.6,0.90%,0.2,0.7,31.6,0-2
Detroit Pistons,30,30,18.20%,7,15.7,44.7,44.9,17.80%,6.9,15.3,45.3,0.40%,0.1,0.4,18.2,0-2
New York Knicks,28,28,17.30%,6.8,15.4,44.2,44.2,17.10%,6.8,15.2,44.7,0.20%,0,0.2,0,0-2
LA Clippers,29,29,18.20%,7.2,15.3,46.8,47.9,17.00%,6.9,14.2,48.2,1.30%,0.3,1.1,29,0-2
Memphis Grizzlies,29,28,18.30%,6.1,14.8,41.4,41.5,17.80%,6.1,14.4,42.2,0.50%,0,0.4,9.1,0-2
New Orleans Pelicans,30,30,16.90%,6.7,14.7,45.5,45.5,16.80%,6.7,14.7,45.7,0.10%,0,0.1,0,0-2
San Antonio Spurs,28,28,18.00%,7.1,14.6,48.8,49.3,17.70%,7,14.4,48.6,0.30%,0.1,0.3,57.1,0-2
Toronto Raptors,26,26,17.30%,7.3,14.6,50.3,51.2,16.40%,7.1,13.9,50.8,0.80%,0.3,0.7,38.9,0-2
Golden State Warriors,29,29,16.50%,7.2,14.6,49.5,50.6,15.50%,6.9,13.7,50.5,1.00%,0.3,0.9,34.6,0-2
Atlanta Hawks,27,27,17.20%,6.6,14.4,45.4,45.8,16.50%,6.4,13.8,46.5,0.70%,0.1,0.6,18.8,0-2
Philadelphia 76ers,28,28,16.50%,6.4,13.9,45.6,45.9,16.10%,6.3,13.6,46.2,0.40%,0.1,0.3,22.2,0-2
Houston Rockets,29,29,16.00%,6.4,13.9,46.3,47.3,15.00%,6.1,13,47.2,1.00%,0.3,0.9,32,0-2
Orlando Magic,30,29,16.20%,6.4,13.3,48,48.5,15.50%,6.2,12.7,49,0.60%,0.1,0.5,25,0-2
Cleveland Cavaliers,26,26,15.10%,6,12.8,47,47.9,14.10%,5.8,11.9,48.5,1.00%,0.2,0.9,26.1,0-2
Dallas Mavericks,28,28,13.10%,5,10.7,47,47,12.70%,5,10.4,48.3,0.30%,0,0.3,0,0-2
New York Knicks,28,28,38.40%,15.6,34,46,47.6,33.40%,14.5,29.6,48.9,4.90%,1.1,4.4,26,2-4
Toronto Raptors,26,26,39.90%,16.8,33.8,49.8,51.8,34.70%,15.5,29.4,52.6,5.20%,1.4,4.4,30.7,2-4
Golden State Warriors,29,29,37.40%,16.4,33,49.8,52.3,30.60%,14.8,27,54.7,6.80%,1.7,6,27.6,2-4
Chicago Bulls,27,27,38.10%,14.7,32.8,44.7,46.1,33.70%,13.7,29.1,47.3,4.30%,0.9,3.7,24.8,2-4
Los Angeles Lakers,31,31,37.40%,14.6,32.5,44.8,47.8,30.40%,12.7,26.4,47.9,7.00%,1.9,6.1,31.4,2-4
Detroit Pistons,30,30,37.70%,15.2,32.4,47,48,34.80%,14.6,29.9,48.8,2.90%,0.6,2.5,25.7,2-4
Charlotte Hornets,29,29,36.80%,14.6,31.6,46.2,48.9,30.50%,12.9,26.2,49.4,6.30%,1.7,5.5,31,2-4
Milwaukee Bucks,26,26,37.30%,15.6,31.5,49.4,50.7,34.00%,14.7,28.7,51.3,3.30%,0.8,2.8,30.1,2-4
Denver Nuggets,29,28,37.20%,13.9,31.4,44.1,46.5,31.10%,12.3,26.3,46.9,6.10%,1.6,5.2,30,2-4
Phoenix Suns,28,28,34.30%,14.3,30.4,47.2,48.6,31.10%,13.4,27.5,48.8,3.20%,0.9,2.8,31.6,2-4
Washington Wizards,27,27,35.00%,15.2,30.2,50.1,51.9,31.90%,14.1,27.5,51.2,3.20%,1.1,2.7,39.2,2-4
Miami Heat,29,29,35.00%,14.5,30.2,48.1,50,31.00%,13.3,26.8,49.9,4.00%,1.2,3.5,34,2-4
Orlando Magic,30,29,36.70%,13.4,30.1,44.6,46.7,32.50%,12.2,26.6,45.7,4.20%,1.3,3.5,36.5,2-4
Indiana Pacers,30,30,34.60%,14,29.8,46.9,48.8,30.10%,12.9,26,49.6,4.50%,1.1,3.9,29.3,2-4
Oklahoma City Thunder,28,28,34.20%,14.8,29.8,49.8,51.1,30.70%,14,26.8,52.3,3.50%,0.8,3,27.1,2-4
Atlanta Hawks,27,27,35.40%,14.7,29.8,49.4,51,30.90%,13.7,26,52.8,4.50%,1,3.8,25.5,2-4
Houston Rockets,29,29,34.30%,14.6,29.7,49.2,52.6,26.90%,12.6,23.2,54.2,7.40%,2,6.4,31.2,2-4
New Orleans Pelicans,30,30,33.70%,13.5,29.3,46,47.3,30.40%,12.8,26.5,48.2,3.30%,0.7,2.9,25.6,2-4
Cleveland Cavaliers,26,26,34.20%,13.2,28.9,45.7,48.7,27.70%,11.5,23.4,49,6.50%,1.7,5.5,31.5,2-4
Portland Trail Blazers,30,29,33.90%,14.1,28.5,49.4,52.5,27.70%,12.3,23.3,52.8,6.20%,1.8,5.2,34.2,2-4
Dallas Mavericks,28,28,34.80%,12.1,28.5,42.4,45.2,28.20%,10.5,23.1,45.5,6.60%,1.6,5.4,29.1,2-4
Sacramento Kings,28,28,33.80%,13.3,28.1,47.2,48.5,30.50%,12.5,25.4,49.3,3.30%,0.8,2.7,27.6,2-4
Boston Celtics,28,28,32.60%,13.4,28,47.9,50.6,26.50%,11.9,22.8,52.3,6.10%,1.5,5.2,28.8,2-4
Philadelphia 76ers,28,28,33.10%,13,28,46.4,48.7,28.00%,11.7,23.7,49.3,5.10%,1.3,4.3,30,2-4
LA Clippers,29,29,32.90%,12.9,27.6,46.9,49.6,26.80%,11.4,22.5,50.8,6.10%,1.5,5.1,29.7,2-4
Minnesota Timberwolves,27,27,32.50%,13.7,27.4,49.8,51.3,28.80%,12.8,24.3,52.8,3.70%,0.8,3.1,26.2,2-4
Brooklyn Nets,26,26,30.20%,12.3,25.9,47.3,49.3,26.20%,11.2,22.4,50.1,4.10%,1,3.5,29.7,2-4
San Antonio Spurs,28,28,31.50%,11.9,25.7,46.3,48.1,27.80%,11,22.6,48.4,3.70%,0.9,3,30.6,2-4
Memphis Grizzlies,29,28,31.50%,11.8,25.4,46.3,48.2,27.10%,10.9,21.9,49.6,4.40%,0.9,3.5,26.2,2-4
Utah Jazz,28,28,30.80%,12.3,23.9,51.6,54.3,26.50%,11,20.5,53.8,4.40%,1.3,3.4,37.9,2-4
LA Clippers,29,29,31.10%,12.4,26.1,47.5,56.3,17.40%,7.8,14.6,53.1,13.60%,4.6,11.4,40.4,4-6
