team_id,team_name,city
1,Atlanta Hawks,Atlanta
2,Boston Celtics,Boston
3,Brooklyn Nets,Brooklyn
4,Charlotte Hornets,Charlotte
5,Chicago Bulls,Chicago
6,Cleveland Cavaliers,Cleveland
7,Dallas Mavericks,Dallas
8,Denver Nuggets,Denver
9,Detroit Pistons,Detroit
10,Golden State Warriors,Golden State
11,Houston Rockets,Houston
12,Indiana Pacers,Indiana
13,LA Clippers,LAC
14,Los Angeles Lakers,LAL
15,Memphis Grizzlies,Memphis
16,Miami Heat,Miami
17,Milwaukee Bucks,Milwaukee
18,Minnesota Timberwolves,Minnesota
19,New Orleans Pelicans,New Orleans
20,New York Knicks,New York
21,Oklahoma City Thunder,Oklahoma City
22,Orlando Magic,Orlando
23,Philadelphia 76ers,Philadelphia
24,Phoenix Suns,Phoenix
25,Portland Trail Blazers,Portland
26,Sacramento Kings,Sacramento
27,San Antonio Spurs,San Antonio
28,Toronto Raptors,Toronto
29,Utah Jazz,Utah
30,Washington Wizards,Washington
